NAICS,Description
212,Mining (except oil and gas)
311,Food manufacturing
312,Beverage and tobacco product manufacturing
313,Textile mills
314,Textile product mills
315,Apparel manufacturing
316,Leather and allied product manufacturing
321,Wood product manufacturing
322,Paper manufacturing
323,Printing and related support activities
324,Petroleum and coal products manufacturing
325,Chemical manufacturing
326,Plastics and rubber products manufacturing
327,Nonmetallic mineral product manufacturing
331,Primary metal manufacturing
332,Fabricated metal product manufacturing
333,Machinery manufacturing
334,Computer and electronic product manufacturing
335,"Electrical equipment, appliance, and component manufacturing"
336,Transportation equipment manufacturing
337,Furniture and related product manufacturing
339,Miscellaneous manufacturing
4231,Motor vehicle and parts merchant wholesalers
4232,Furniture and home furnishing merchant wholesalers
4233,Lumber and other construction materials merchant wholesalers
4234,Commercial equip. merchant wholesalers
4235,Metal and mineral (except petroleum) merchant wholesalers
4236,Electrical and electronic goods merchant wholesalers
4237,Hardware and plumbing merchant wholesalers
4238,"Machinery, equipment, and supplies merchant wholesalers"
4239,Miscellaneous durable goods merchant wholesalers
4241,Paper and paper product merchant wholesalers
4242,Drugs and druggists' sundries merchant wholesalers
4243,"Apparel, piece goods, and notions merchant wholesalers"
4244,Grocery and related product merchant wholesalers
4245,Farm product raw material merchant wholesalers
4246,Chemical and allied products merchant wholesalers
4247,Petroleum and petroleum products merchant wholesalers
4248,"Beer, wine, and distilled alcoholic beverage merchant wholesalers"
4249,Miscellaneous nondurable goods merchant wholesalers
4541,Electronic shopping and mail-order houses
45431,Direct selling establishments
4931,Warehousing and storage (includes 484)
5111,"Newspaper, periodical, book, and directory publishers"
551114,"Corporate, subsidiary, and regional managing offices"